parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
5269531,16706,91045,107751,3,1000,6,14,2019,6/14/2019,0,1,144000
5270718,23754,149015,172769,3,1542,11,9,2020,11/9/2020,0,1,262000
5273091,44000,247963,291963,3,2277,12,13,2018,12/13/2018,0,1,338000
5273130,44000,345019,389019,4,3404,1,9,2020,1/9/2020,0,1,385000
5327850,33000,361774,394774,4,3389,10,5,2020,10/5/2020,1,0,590000
5328074,61800,203323,265123,3,2163,3,9,2020,3/9/2020,1,0,309000
5328261,61800,199577,261377,3,2226,11,30,2018,11/30/2018,1,0,300000
5331822,0,236918,236918,2,1126,4,2,2020,4/2/2020,1,0,280000
5331831,0,254123,254123,2,1126,5,29,2018,5/29/2018,1,0,260000
5331971,0,236918,236918,2,1126,10,5,2020,10/5/2020,1,0,335000
5332527,0,378200,378200,3,1660,1,6,2020,1/6/2020,1,0,475000
5335593,58400,175611,234011,3,2445,4,30,2019,4/30/2019,1,0,275000
5336981,20580,166706,187286,3,1346,7,7,2018,7/7/2018,1,0,210000
5336999,20580,169910,190490,2,1765,7,30,2018,7/30/2018,1,0,198000
5337103,20580,125490,146070,3,1282,4,10,2019,4/10/2019,1,0,181500
5337120,20580,184925,205505,3,1760,11,16,2020,11/16/2020,1,0,269000
5337120,20580,184925,205505,3,1760,6,16,2017,6/16/2017,1,0,187900
5337316,20580,175256,195836,3,1739,7,22,2020,7/22/2020,1,0,205000
5337332,20580,145646,166226,3,1449,11,30,2018,11/30/2018,1,0,168000
5337341,20580,178960,199540,3,1902,4,2,2018,4/2/2018,1,0,200000
5337375,16684,171659,188343,3,1800,7,26,2017,7/26/2017,1,0,190000
5345033,226750,100678,327428,2,1248,6,10,2020,6/10/2020,1,1,361000
5370275,116323,322061,438384,5,3022,2,27,2020,2/27/2020,1,1,470000
5370542,29307,153186,182493,3,1469,9,15,2017,9/15/2017,1,1,172000
5337464,19500,169532,189032,3,1616,10,2,2017,10/2/2017,1,0,194000
5346498,60500,144378,204878,4,2390,9,4,2020,9/4/2020,1,0,285000
5366901,47500,196840,244340,3,1892,9,27,2019,9/27/2019,1,0,280000
5366910,47500,184196,231696,3,1941,1,24,2017,1/24/2017,1,0,215000
5366961,37000,195062,232062,3,1820,2,20,2018,2/20/2018,1,0,249900
5366987,37000,228352,265352,3,2032,11,29,2018,11/29/2018,1,0,320000
5366987,37000,228352,265352,3,2032,3,8,2017,3/8/2017,1,0,278600
5367037,37000,185596,222596,2,1842,6,16,2017,6/16/2017,1,0,235000
5367967,51000,250669,301669,4,2216,9,20,2018,9/20/2018,1,0,352300
5428354,65800,0,65800,,,3,31,2020,3/31/2020,1,1,85000
5273725,30500,185375,215875,3,1882,8,20,2018,8/20/2018,0,1,239900
5392627,33828,221908,255736,3,1647,7,24,2018,7/24/2018,1,0,242000
5392627,33828,221908,255736,3,1647,2,24,2017,2/24/2017,1,0,22000
5400336,41912,180430,222342,3,1688,10,9,2018,10/9/2018,1,0,252000
5403599,35000,180065,215065,3,1604,10,30,2020,10/30/2020,1,0,225000
5403785,15000,173294,188294,3,1569,12,14,2018,12/14/2018,1,0,202000
5398188,18000,131468,149468,3,1248,5,10,2017,5/10/2017,1,0,155000
5422399,40498,225314,265812,4,2498,2,28,2018,2/28/2018,1,0,265000
7822041,60000,158195,218195,2,1662,8,24,2018,8/24/2018,1,0,229000
5444244,21000,158193,179193,3,1342,4,23,2020,4/23/2020,1,0,208500
5447154,36500,253970,290470,3,2656,7,27,2018,7/27/2018,1,0,320000
5447383,36500,252596,289096,3,2562,11,15,2019,11/15/2019,1,0,350000
5448321,36500,210267,246767,4,2339,10,11,2019,10/11/2019,1,0,306000
5448355,36500,292354,328854,4,3011,3,19,2018,3/19/2018,1,0,392000
5448487,36500,261193,297693,4,2720,2,18,2020,2/18/2020,1,0,395000
5454436,47575,378205,425780,4,3843,3,31,2017,3/31/2017,1,1,550000
5468861,69000,348407,417407,3,2750,1,17,2017,1/17/2017,1,1,95000
2975211,74294,187514,261808,4,1784,9,20,2017,9/20/2017,0,1,292500
2975296,68160,214202,282362,4,1761,5,3,2019,5/3/2019,0,1,332500
2975318,59745,219548,279293,3,2394,8,11,2017,8/11/2017,0,1,345000
2975334,68160,241165,309325,4,2378,8,20,2020,8/20/2020,0,1,360000
5448509,36500,226534,263034,3,2556,3,17,2017,3/17/2017,1,0,310000
5482944,37345,221756,259101,4,2659,12,26,2017,12/26/2017,1,0,358900
5483312,48880,170029,218909,3,1807,10,24,2017,10/24/2017,1,0,230000
5483878,61800,342738,404538,4,2664,7,10,2018,7/10/2018,1,0,485000
5483878,61800,342738,404538,4,2664,8,24,2020,8/24/2020,1,0,495000
5273725,30500,185375,215875,3,1882,11,13,2020,11/13/2020,0,1,270000
5292843,80645,338451,419096,4,3502,4,12,2017,4/12/2017,0,1,350000
5299473,23427,121477,144904,3,1308,3,18,2019,3/18/2019,0,1,186400
5299805,18498,145063,163561,3,1568,9,29,2017,9/29/2017,0,1,172000
5483878,61800,342738,404538,4,2664,3,15,2017,3/15/2017,1,0,410000
5483886,61800,273820,335620,3,2589,4,2,2019,4/2/2019,1,0,390000
5483908,61800,271512,333312,3,2480,9,21,2018,9/21/2018,1,0,348000
5484220,37000,219044,256044,3,1995,5,22,2020,5/22/2020,1,0,280000
5484238,61800,209504,271304,3,2025,1,22,2019,1/22/2019,1,0,318000
5484297,61800,210168,271968,3,2025,8,4,2017,8/4/2017,1,0,335000
6151369,108700,0,108700,,,10,6,2017,10/6/2017,1,0,110000
5484891,37000,240082,277082,3,1965,9,16,2019,9/16/2019,1,0,325000
5484891,37000,240082,277082,3,1965,11,5,2018,11/5/2018,1,0,256700
5484947,47500,217736,265236,3,2025,8,14,2020,8/14/2020,1,0,300000
5485111,47500,261976,309476,2,2410,4,16,2018,4/16/2018,1,0,337500
5485137,47500,218682,266182,3,1597,6,18,2018,6/18/2018,1,0,300000
5485188,37000,204744,241744,3,1946,7,14,2020,7/14/2020,1,0,275000
5487750,132000,122196,254196,2,1292,9,13,2018,9/13/2018,1,0,245000
2976811,91440,149382,240822,2,1636,4,12,2018,4/12/2018,0,1,226500
2976896,82296,196272,278568,3,2297,5,29,2020,5/29/2020,0,1,398000
2976934,74295,296690,370985,4,2629,12,17,2018,12/17/2018,0,1,386000
5300251,15540,168569,184109,3,1693,6,30,2020,6/30/2020,0,1,260000
5490033,511875,998232,1510107,,,12,29,2020,12/29/2020,1,0,3115000
5490297,32000,172896,204896,3,1605,4,27,2017,4/27/2017,1,0,200000
5490505,32000,223131,255131,3,2127,12,14,2020,12/14/2020,1,0,300000
5501027,33200,159043,192243,3,1649,10,3,2018,10/3/2018,1,0,210000
5501051,33200,205602,238802,3,1873,8,28,2020,8/28/2020,1,0,345000
5501060,33200,199513,232713,3,1890,8,7,2020,8/7/2020,1,0,338000
5501124,33200,188195,221395,3,2124,3,21,2018,3/21/2018,1,0,255000
5501655,50000,372568,422568,3,3200,4,11,2018,4/11/2018,1,0,499900
5526879,100000,341642,441642,3,4450,11,13,2018,11/13/2018,1,1,485000
6751595,23520,218122,241642,4,2448,5,6,2020,5/6/2020,1,1,285000
5330346,87500,0,87500,,,5,22,2019,5/22/2019,0,1,114000
5332187,58936,137493,196429,3,1221,7,22,2019,7/22/2019,0,1,262000
5083527,7875,128332,136207,3,1106,9,19,2018,9/19/2018,0,1,150000
5335071,55651,479925,535576,4,4128,12,11,2017,12/11/2017,0,1,550000
5501761,34000,351294,385294,4,3274,8,13,2020,8/13/2020,1,0,500000
5501949,50000,372817,422817,4,3214,12,17,2018,12/17/2018,1,0,488000
5509583,22000,161534,183534,2,1961,7,1,2019,7/1/2019,1,0,215000
5510361,29500,174623,204123,3,1781,4,9,2019,4/9/2019,1,0,248800
5510417,29500,157205,186705,2,1759,2,26,2018,2/26/2018,1,0,215000
5521249,535980,3220962,3756942,,,2,10,2020,2/10/2020,1,0,6650000
5526496,19075,151172,170247,3,1396,6,21,2019,6/21/2019,1,0,217500
5523845,43235,195691,238926,3,2224,1,31,2017,1/31/2017,1,0,230000
5531031,30500,162501,193001,3,1456,8,31,2018,8/31/2018,1,0,220000
5531031,30500,162501,193001,3,1456,2,21,2017,2/21/2017,1,0,200000
4974423,31631,188872,220503,3,1848,8,13,2018,8/13/2018,0,0,277000
5531759,44500,182482,226982,3,2309,3,9,2018,3/9/2018,1,1,295000
5335101,62060,279801,341861,3,2196,4,10,2019,4/10/2019,0,1,400000
6751595,23520,218122,241642,4,2448,11,10,2018,11/10/2018,1,1,250000
6751609,22080,197286,219366,3,2094,6,5,2017,6/5/2017,1,1,224500
6751749,21600,276080,297680,6,3932,4,18,2019,4/18/2019,1,1,322500
5346137,145000,350053,495053,3,2328,12,27,2017,12/27/2017,0,1,430000
5346145,145000,0,145000,,,8,4,2020,8/4/2020,0,1,145000
2804041,30316,142662,172978,3,1348,12,20,2019,12/20/2019,1,0,220000
5533204,14935,112230,127165,3,1134,5,25,2020,5/25/2020,1,0,155000
5549569,50000,308344,358344,4,2868,6,30,2017,6/30/2017,1,0,358500
5549640,50000,354222,404222,4,3392,8,31,2020,8/31/2020,1,0,540000
5549640,50000,354222,404222,4,3392,6,4,2019,6/4/2019,1,0,450000
5558339,42000,223873,265873,3,2148,8,27,2020,8/27/2020,1,0,393000
5558665,24089,149697,173786,2,1626,10,4,2018,10/4/2018,1,0,217800
5558801,12062,141423,153485,2,1665,8,23,2018,8/23/2018,1,0,205000
5558819,12062,161714,173776,3,1794,11,27,2019,11/27/2019,1,0,188400
5558941,13125,150455,163580,2,1611,5,10,2019,5/10/2019,1,0,187500
5558975,12062,136728,148790,2,1498,3,21,2018,3/21/2018,1,0,160000
5559181,11707,136187,147894,2,1471,12,5,2019,12/5/2019,1,0,187500
5346161,145000,323181,468181,2,2200,9,4,2018,9/4/2018,0,1,550000
5365271,50600,213474,264074,4,2674,7,27,2018,7/27/2018,0,1,345000
5365301,50600,196089,246689,3,2076,12,1,2020,12/1/2020,0,1,365000
5392457,8625,145438,154063,3,1210,5,23,2018,5/23/2018,0,1,174900
5559190,11707,143994,155701,2,1518,11,20,2018,11/20/2018,1,0,220500
5560104,35000,181962,216962,3,1983,11,6,2017,11/6/2017,1,0,220000
5560431,35000,187195,222195,3,1850,8,6,2020,8/6/2020,1,0,300000
7822059,60000,192072,252072,4,2034,6,28,2018,6/28/2018,1,0,248300
5564673,30000,191453,221453,3,1768,11,5,2019,11/5/2019,1,0,257000
5565513,36750,318068,354818,3,2818,4,9,2018,4/9/2018,1,0,382000
5565521,36750,280670,317420,4,2404,8,14,2020,8/14/2020,1,0,440000
5565521,36750,280670,317420,4,2404,1,26,2018,1/26/2018,1,0,400000
5565564,35000,243310,278310,4,2509,10,31,2018,10/31/2018,1,0,324000
5565599,35000,279850,314850,4,2150,6,3,2019,6/3/2019,1,0,380000
5565947,40013,242316,282329,3,2309,2,23,2017,2/23/2017,1,0,320000
5566161,66521,214334,280855,3,2174,4,5,2018,4/5/2018,1,0,275000
5566242,71808,225792,297600,3,2177,5,14,2018,5/14/2018,1,0,340000
5393283,44200,192863,237063,3,1774,4,14,2020,4/14/2020,0,1,245000
5396576,93600,412323,505923,3,5103,4,2,2018,4/2/2018,0,1,540000
2223987,27788,194732,222520,3,2770,4,19,2018,4/19/2018,0,1,215000
5566251,36378,215554,251932,3,2118,3,26,2020,3/26/2020,1,0,365000
5566277,35190,158332,193522,3,1636,11,5,2020,11/5/2020,1,0,281000
5566285,34425,200805,235230,3,2084,10,11,2019,10/11/2019,1,0,271000
5566315,41910,198141,240051,3,1943,10,19,2017,10/19/2017,1,0,275000
5566552,51816,201920,253736,3,2124,6,23,2017,6/23/2017,1,0,261500
5570185,57000,218585,275585,3,2317,9,24,2020,9/24/2020,1,0,315000
5570207,57000,191987,248987,3,1892,7,30,2020,7/30/2020,1,0,290000
5573559,55000,132392,187392,3,1512,9,17,2020,9/17/2020,1,0,230000
5573672,49500,159276,208776,3,2102,10,8,2020,10/8/2020,1,0,230000
5581349,59163,231369,290532,3,2178,8,8,2018,8/8/2018,1,0,313500
5581357,54986,210288,265274,4,2167,2,1,2017,2/1/2017,1,0,286000
5581403,54490,185886,240376,3,1806,6,14,2017,6/14/2017,1,0,310000
5599639,61500,197170,258670,3,2024,10,14,2019,10/14/2019,1,0,320000
5599639,61500,197170,258670,3,2024,12,23,2020,12/23/2020,1,0,335000
5599655,61500,192096,253596,3,1955,9,18,2018,9/18/2018,1,0,267500
5599680,61500,178547,240047,3,2214,10,29,2020,10/29/2020,1,0,319000
5396584,91440,0,91440,,,12,11,2019,12/11/2019,0,1,108000
5599710,61500,180041,241541,3,1951,12,2,2020,12/2/2020,1,0,270000
5599892,65000,209126,274126,3,2282,9,20,2018,9/20/2018,1,0,300000
6318026,21000,158337,179337,3,1565,5,15,2018,5/15/2018,1,0,209000
5599965,65000,209963,274963,3,2147,7,11,2018,7/11/2018,1,0,340000
5599965,65000,209963,274963,3,2147,1,7,2019,1/7/2019,1,0,350000
5600017,65000,191124,256124,3,2142,9,18,2017,9/18/2017,1,0,255000
5600033,65000,180012,245012,4,2019,12,11,2020,12/11/2020,1,0,309000
5600131,65000,199437,264437,3,2096,7,9,2020,7/9/2020,1,0,325000
5600165,65000,241685,306685,4,2790,9,29,2017,9/29/2017,1,0,410000
5600165,65000,241685,306685,4,2790,10,7,2020,10/7/2020,1,0,480000
5604071,56525,375368,431893,4,2694,3,20,2017,3/20/2017,1,1,535000
5600262,61500,191199,252699,3,1946,11,12,2020,11/12/2020,1,0,349900
5603831,30000,198384,228384,3,1931,4,30,2018,4/30/2018,1,0,260000
5629198,36700,177172,213872,3,1972,10,6,2017,10/6/2017,1,0,229100
5629333,37000,201575,238575,3,2050,11,26,2018,11/26/2018,1,0,270000
5629431,36700,199715,236415,4,2046,6,1,2018,6/1/2018,1,0,290000
5629465,44500,211555,256055,4,2302,2,16,2018,2/16/2018,1,0,315000
5631788,137500,313186,450686,4,3242,2,23,2017,2/23/2017,1,0,439000
5629872,31000,298984,329984,3,2749,2,7,2018,2/7/2018,1,0,385000
5632806,61800,234698,296498,3,2190,1,19,2017,1/19/2017,1,0,320000
5632857,61800,261587,323387,3,2366,3,28,2019,3/28/2019,1,0,383000
5633136,61800,258841,320641,4,2672,9,4,2020,9/4/2020,1,0,365000
5633179,59000,257204,316204,3,2135,9,12,2019,9/12/2019,1,0,380000
5633918,57330,163908,221238,3,1846,6,26,2019,6/26/2019,1,0,260000
5634302,42893,190076,232969,3,2189,1,26,2020,1/26/2020,1,0,260000
5396606,83520,442545,526065,5,4342,4,21,2017,4/21/2017,0,1,510000
2224657,25000,167014,192014,4,1731,4,19,2019,4/19/2019,0,1,225000
2224665,31250,114269,145519,3,1472,6,9,2017,6/9/2017,0,1,125000
5634337,40000,155881,195881,2,1732,10,14,2019,10/14/2019,1,0,225000
5636607,40000,145984,185984,3,1691,1,3,2020,1/3/2020,1,0,244500
5897109,40000,251751,291751,4,2503,6,2,2020,6/2/2020,0,0,385000
5636658,40000,191553,231553,3,2087,11,21,2017,11/21/2017,1,0,245000
5639487,27000,225043,252043,3,2003,5,9,2018,5/9/2018,1,0,310000
8002257,19950,0,19950,3,1736,6,25,2020,6/25/2020,1,0,245000
8002258,19950,0,19950,4,1806,6,12,2020,6/12/2020,1,0,258000
8002261,19950,0,19950,3,1736,8,7,2020,8/7/2020,1,0,249000
5648664,50000,333340,383340,4,2864,5,7,2018,5/7/2018,1,0,419000
5648699,50000,357519,407519,4,3092,2,4,2019,2/4/2019,1,0,505000
5648800,34000,264729,298729,3,2395,11,2,2019,11/2/2019,1,0,352000
5649041,38500,381311,419811,4,3226,4,16,2020,4/16/2020,1,1,525000
5649041,38500,381311,419811,4,3226,10,22,2018,10/22/2018,1,1,476500
5670902,21154,0,21154,,,8,31,2017,8/31/2017,1,1,39000
5648842,50000,339835,389835,4,3216,1,24,2020,1/24/2020,1,0,460000
5648851,50000,362622,412622,4,3213,11,6,2019,11/6/2019,1,0,500000
5648851,50000,362622,412622,4,3213,7,31,2018,7/31/2018,1,0,485000
5648940,50000,310343,360343,4,2885,6,26,2020,6/26/2020,1,0,439000
5671020,47250,271541,318791,4,2871,5,8,2019,5/8/2019,1,0,369000
5671879,27418,191531,218949,3,1944,5,8,2019,5/8/2019,1,0,259000
5698874,41000,173832,214832,3,1684,1,18,2018,1/18/2018,1,0,210000
5672255,77175,216487,293662,4,2411,6,3,2019,6/3/2019,1,0,345000
5674070,32000,205554,237554,4,2151,6,9,2017,6/9/2017,1,0,298000
5679543,62000,215766,277766,4,2020,7,17,2020,7/17/2020,1,1,370000
5679608,62000,204310,266310,3,1799,5,9,2018,5/9/2018,1,1,345000
5679659,62000,201401,263401,3,2041,4,29,2019,4/29/2019,1,1,307000
2991429,72250,127792,200042,4,1729,8,20,2020,8/20/2020,0,1,385000
5397114,88560,311553,400113,3,3323,5,26,2017,5/26/2017,0,1,420000
2983311,58900,78950,137850,2,784,2,1,2019,2/1/2019,0,1,158000
5399427,35424,0,35424,,,10,1,2019,10/1/2019,0,1,41000
5461017,11550,0,11550,3,1904,5,1,2020,5/1/2020,0,1,251500
5467279,36990,0,36990,,,4,21,2017,4/21/2017,0,1,25000
5468755,67333,277369,344702,5,3007,1,28,2020,1/28/2020,0,1,510000
3808886,27281,115529,142810,3,1185,2,20,2018,2/20/2018,0,1,128000
5476545,253043,0,253043,,,3,7,2019,3/7/2019,0,1,210000
5479790,79000,245902,324902,3,2698,8,21,2017,8/21/2017,0,1,348500
5480089,4725,0,4725,3,1440,2,24,2017,2/24/2017,0,1,7000
5480836,227920,0,227920,,,9,30,2020,9/30/2020,0,1,500000
2224878,25000,78620,103620,3,1000,9,21,2018,9/21/2018,0,1,135000
5485218,98303,0,98303,,,9,11,2020,9/11/2020,0,1,125000
5485978,33600,179807,213407,4,1784,9,14,2018,9/14/2018,0,1,229900
5487571,22831,181278,204109,3,1589,6,21,2018,6/21/2018,0,1,233500
5498964,31500,198592,230092,4,1912,12,5,2019,12/5/2019,0,1,280900
5504476,65000,241402,306402,4,2154,3,2,2017,3/2/2017,0,1,302500
5521028,95000,168832,263832,3,1879,3,21,2019,3/21/2019,0,1,292500
5521117,80000,390093,470093,3,3593,12,11,2019,12/11/2019,0,1,500000
2983345,58900,102322,161222,2,784,2,25,2019,2/25/2019,0,1,185000
2983451,68655,142918,211573,3,1548,4,6,2020,4/6/2020,0,1,245000
2983485,68655,116277,184932,3,1835,7,17,2017,7/17/2017,0,1,315000
5680011,62000,174301,236301,3,1649,5,27,2020,5/27/2020,1,1,300000
5680061,62000,225998,287998,3,2083,2,22,2018,2/22/2018,1,1,323300
5680088,62000,216488,278488,3,1925,10,26,2020,10/26/2020,1,1,355000
5680096,62000,184038,246038,3,1649,9,11,2019,9/11/2019,1,1,285000
5680100,62000,192410,254410,3,1686,2,8,2019,2/8/2019,1,1,260000
5680185,95200,336618,431818,3,2386,1,24,2020,1/24/2020,1,1,440000
5521133,95000,157774,252774,3,1638,8,5,2019,8/5/2019,0,1,262500
5681211,35000,210591,245591,3,1786,12,11,2018,12/11/2018,1,0,287000
5002454,104372,516542,620914,,,8,9,2019,8/9/2019,0,0,725000
2984708,77610,47271,124881,2,1025,11,29,2019,11/29/2019,0,1,140000
2984775,80346,155430,235776,3,1600,12,11,2019,12/11/2019,0,1,270000
2984783,80346,152375,232721,2,1653,10,27,2017,10/27/2017,0,1,230000
2984830,94525,151024,245549,3,1452,6,12,2018,6/12/2018,0,1,288000
2985160,96236,229007,325243,3,2700,1,24,2018,1/24/2018,0,1,340000
5684491,85456,271881,357337,4,3194,9,24,2019,9/24/2019,1,0,445000
7822334,60000,169864,229864,2,1853,8,17,2017,8/17/2017,1,0,245000
5686612,46500,217783,264283,3,2316,6,4,2019,6/4/2019,1,0,325000
5690741,32000,190541,222541,3,2024,3,4,2020,3/4/2020,1,0,305000
5521184,95000,0,95000,,,11,18,2020,11/18/2020,0,1,128500
2224991,18833,132218,151051,3,1457,5,10,2019,5/10/2019,0,1,184000
2225009,19035,147990,167025,3,1972,11,21,2019,11/21/2019,0,1,187000
2225025,19238,178008,197246,4,1966,12,4,2019,12/4/2019,0,1,210000
5522610,59850,251372,311222,3,2317,4,18,2018,4/18/2018,0,1,370000
5522610,59850,251372,311222,3,2317,4,3,2020,4/3/2020,0,1,400000
6698724,42000,221974,263974,3,2465,8,2,2019,8/2/2019,1,0,337000
6698732,42000,210833,252833,4,2254,12,28,2020,12/28/2020,1,0,308000
7729211,36000,327123,363123,5,3529,9,20,2018,9/20/2018,0,0,417100
7729229,36000,306670,342670,5,2845,6,9,2017,6/9/2017,0,0,455600
6770654,45240,297966,343206,6,3860,4,13,2020,4/13/2020,1,1,395000
6770654,45240,297966,343206,6,3860,3,29,2019,3/29/2019,1,1,389000
5712672,433500,0,433500,,,11,22,2019,11/22/2019,1,1,510000
2990961,67320,110040,177360,3,1440,10,17,2017,10/17/2017,0,1,194000
2225033,19357,120398,139755,3,1424,7,26,2017,7/26/2017,0,1,151000
2225114,19500,110590,130090,2,941,5,25,2017,5/25/2017,0,1,133000
5690962,32000,191901,223901,3,1940,1,23,2017,1/23/2017,1,0,236000
5698793,34500,153386,187886,3,1423,10,13,2020,10/13/2020,1,0,160000
5747727,95000,276409,371409,3,2786,10,23,2019,10/23/2019,1,0,426500
5748758,137500,241574,379074,4,2620,8,23,2019,8/23/2019,1,0,385000
5754243,26754,180265,207019,4,2285,5,28,2019,5/28/2019,1,0,265000
5758184,45000,193764,238764,3,2054,6,8,2020,6/8/2020,1,0,315000
5758621,45000,207730,252730,3,2273,8,14,2018,8/14/2018,1,0,290000
5522628,56525,245747,302272,4,2620,6,3,2019,6/3/2019,0,1,304000
2225165,19000,93586,112586,3,1100,3,2,2018,3/2/2018,0,1,115000
5522857,61000,323087,384087,4,2911,5,21,2017,5/21/2017,0,1,474000
5758702,45000,149818,194818,3,1540,11,15,2018,11/15/2018,1,0,225000
5764338,29500,160239,189739,3,1549,11,13,2019,11/13/2019,1,0,230000
5522857,61000,323087,384087,4,2911,2,14,2020,2/14/2020,0,1,505000
5766209,63321,221433,284754,5,2683,9,22,2020,9/22/2020,1,0,312500
5771679,24000,176192,200192,3,1729,10,30,2020,10/30/2020,1,0,235000
5777413,34500,217760,252260,3,1905,8,30,2018,8/30/2018,1,0,310000
5778908,35530,213136,248666,4,2342,4,9,2020,4/9/2020,1,0,299000
5779041,32637,193778,226415,4,1981,12,20,2019,12/20/2019,1,0,288500
5779041,32637,193778,226415,4,1981,5,16,2017,5/16/2017,1,0,245000
5779238,31781,190178,221959,4,2189,11,11,2020,11/11/2020,1,0,285000
5779351,22795,155572,178367,3,1550,8,9,2018,8/9/2018,1,0,222000
5779360,25075,177866,202941,3,1971,8,3,2017,8/3/2017,1,0,222000
5779360,25075,177866,202941,3,1971,2,21,2019,2/21/2019,1,0,248000
5779394,20473,194743,215216,3,2225,1,20,2017,1/20/2017,1,0,226000
2991208,57750,167184,224934,2,1497,9,9,2019,9/9/2019,0,1,264000
2991259,57750,150989,208739,2,1407,7,10,2019,7/10/2019,0,1,237500
2991330,72250,195466,267716,3,1706,11,27,2020,11/27/2020,0,1,393000
2991429,72250,127792,200042,4,1729,3,4,2019,3/4/2019,0,1,233000
2991470,72250,166704,238954,3,2175,3,4,2019,3/4/2019,0,1,279000
2991542,80750,65184,145934,2,1270,3,11,2019,3/11/2019,0,1,172500
5779424,24910,186516,211426,3,2060,1,31,2018,1/31/2018,1,0,239000
5779432,22795,167042,189837,3,1706,10,24,2018,10/24/2018,1,0,232000
5779459,23707,154496,178203,3,1557,11,6,2018,11/6/2018,1,0,241000
5779467,22795,170933,193728,3,1800,10,26,2018,10/26/2018,1,0,235000
5779840,28373,197541,225914,3,2376,12,15,2020,12/15/2020,1,0,225100
5779858,28373,166219,194592,3,1918,5,11,2018,5/11/2018,1,0,226000
5780864,26754,170409,197163,3,1534,5,16,2019,5/16/2019,1,0,264000
5808581,71400,328284,399684,4,3032,6,2,2017,6/2/2017,1,0,550000
5808653,68000,250320,318320,4,2601,2,28,2017,2/28/2017,1,0,372500
5809862,105000,307006,412006,4,2581,2,6,2018,2/6/2018,1,1,500000
5812146,95200,566904,662104,4,4067,10,28,2019,10/28/2019,1,1,775000
5808734,68000,199415,267415,3,2561,8,25,2017,8/25/2017,1,0,275000
5808734,68000,199415,267415,3,2561,3,7,2018,3/7/2018,1,0,320000
5809391,38600,176275,214875,3,1672,7,10,2019,7/10/2019,1,0,250000
5809447,38600,270311,308911,4,3056,4,27,2017,4/27/2017,1,0,375000
5813070,30000,151224,181224,3,1249,10,13,2020,10/13/2020,1,0,220000
5813282,31500,171752,203252,3,1704,10,14,2020,10/14/2020,1,0,259900
5821919,57927,209909,267836,4,2250,7,26,2019,7/26/2019,1,0,313000
5831078,28600,219508,248108,4,2091,4,11,2018,4/11/2018,1,0,305500
5831086,26000,235996,261996,5,2717,9,12,2019,9/12/2019,1,0,322000
5831248,43000,182893,225893,3,1699,2,10,2020,2/10/2020,1,0,250000
5831311,43000,237039,280039,4,2379,11,21,2019,11/21/2019,1,0,335000
5812189,75000,493285,568285,3,3345,8,14,2020,8/14/2020,1,1,644000
5831477,43000,224006,267006,3,2128,4,8,2020,4/8/2020,1,0,295000
5835669,180000,170584,350584,3,1623,10,1,2019,10/1/2019,1,0,477500
5837629,97900,0,97900,,,11,16,2017,11/16/2017,1,0,122500
5842011,625468,2936130,3561598,,,5,17,2018,5/17/2018,1,0,3950000
5842029,777546,0,777546,,,4,24,2019,4/24/2019,1,0,975000
5845087,15000,138794,153794,2,1376,3,23,2018,3/23/2018,1,0,180000
5522881,61000,288430,349430,3,2654,7,28,2020,7/28/2020,0,1,415000
5846644,56784,152784,209568,3,1990,5,6,2019,5/6/2019,1,0,246000
5846652,60449,158739,219188,4,1993,3,16,2020,3/16/2020,1,0,280200
5865592,100000,292394,392394,3,2184,7,24,2017,7/24/2017,1,1,440000
5846717,66150,163162,229312,4,1919,11,12,2020,11/12/2020,1,0,320000
5846768,61374,136506,197880,3,1680,11,17,2020,11/17/2020,1,0,243000
5846873,49238,136772,186010,4,1690,2,20,2017,2/20/2017,1,0,216000
5846881,54220,119888,174108,3,1423,8,2,2019,8/2/2019,1,0,205000
5868605,42000,297885,339885,3,2417,7,19,2018,7/19/2018,1,1,417000
5868796,68200,273605,341805,3,1970,8,16,2017,8/16/2017,1,1,465000
5868796,68200,273605,341805,3,1970,2,11,2020,2/11/2020,1,1,465000
5846890,58500,163507,222007,4,2101,11,19,2020,11/19/2020,1,0,270000
5846946,53625,160910,214535,4,1984,5,18,2018,5/18/2018,1,0,235000
5848906,49238,193768,243006,3,2147,5,4,2018,5/4/2018,1,0,290000
5849040,48750,197496,246246,3,2259,7,22,2019,7/22/2019,1,0,282900
5849694,63525,265097,328622,4,2764,12,17,2020,12/17/2020,1,0,359900
5868877,62000,232406,294406,3,2015,7,24,2018,7/24/2018,1,1,362500
5881237,57103,341005,398108,5,3618,2,26,2018,2/26/2018,1,1,420000
5873935,61570,200225,261795,3,2092,11,26,2019,11/26/2019,1,0,314000
5878937,61800,255248,317048,3,2178,7,17,2020,7/17/2020,1,0,385000
5878988,31000,235187,266187,3,2229,7,17,2019,7/17/2019,1,0,320000
5879089,61800,262412,324212,3,2440,3,5,2020,3/5/2020,1,0,365000
5879127,61800,263587,325387,3,2323,4,11,2018,4/11/2018,1,0,385000
5879135,39700,269827,309527,3,2380,10,20,2020,10/20/2020,1,0,412000
5879585,61800,201304,263104,3,1805,7,26,2018,7/26/2018,1,0,309900
5879666,61800,221081,282881,3,2000,6,9,2017,6/9/2017,1,0,290000
