parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
2960981,74970,185186,260156,4,2260,10,21,2020,10/21/2020,0,1,365000
5168697,13000,26332,39332,2,480,1,31,2019,1/31/2019,1,1,49000
5168778,13000,31400,44400,1,511,2,28,2020,2/28/2020,1,1,55000
5169286,21450,35029,56479,2,1038,12,21,2018,12/21/2018,1,1,78000
5169308,21450,54276,75726,2,1152,6,28,2019,6/28/2019,1,1,85000
5169677,13000,10401,23401,1,248,5,4,2020,5/4/2020,1,1,23000
5169880,13000,22310,35310,1,420,11,2,2019,11/2/2019,1,1,39000
5170098,13000,18445,31445,1,384,2,24,2017,2/24/2017,1,1,43900
5170128,13000,11568,24568,1,248,11,23,2020,11/23/2020,1,1,25000
5171345,71400,341512,412912,3,2673,7,17,2020,7/17/2020,1,1,430000
5172350,62225,303949,366174,3,2600,7,21,2017,7/21/2017,1,1,381500
5172449,72050,259616,331666,3,2348,8,27,2020,8/27/2020,1,1,401200
5193667,22500,24405,46905,3,1056,8,25,2020,8/25/2020,1,1,142000
5201422,95500,0,95500,,,8,27,2020,8/27/2020,1,1,115000
5201431,95500,0,95500,3,3016,5,30,2019,5/30/2019,1,1,120000
5201431,95500,0,95500,3,3016,11,30,2017,11/30/2017,1,1,90000
5201503,88815,576304,665119,3,3610,10,9,2017,10/9/2017,1,1,70000
5201511,68760,0,68760,4,4196,3,22,2019,3/22/2019,1,1,75000
5201601,61320,0,61320,,,1,3,2020,1/3/2020,1,1,60000
5212670,56100,188148,244248,3,1765,2,24,2017,2/24/2017,1,1,315000
5212726,51400,192699,244099,3,1801,6,10,2020,6/10/2020,1,1,330000
2965924,65824,169676,235500,2,1344,10,12,2017,10/12/2017,0,1,248500
2965932,75000,418027,493027,4,3024,6,20,2019,6/20/2019,0,1,549800
2966211,160448,159627,320075,3,1900,11,6,2018,11/6/2018,0,1,377000
2966548,86700,136426,223126,2,1350,2,19,2018,2/19/2018,0,1,266000
2966572,76500,93785,170285,2,810,6,11,2019,6/11/2019,0,1,200000
5299929,14700,224687,239387,3,2109,3,3,2017,3/3/2017,1,1,267000
5300315,19080,194370,213450,3,1834,5,16,2019,5/16/2019,1,1,241000
5300374,19800,197952,217752,3,1649,8,16,2017,8/16/2017,1,1,245000
5680258,95200,409844,505044,3,2427,8,17,2018,8/17/2018,1,1,520000
5680274,95200,558897,654097,4,3718,6,19,2019,6/19/2019,1,1,765000
2985381,80714,151689,232403,2,1715,10,19,2019,10/19/2019,0,1,279000
2985453,80714,158954,239668,3,1565,3,15,2018,3/15/2018,0,1,265000
2984899,407138,195867,603005,3,1923,4,10,2019,4/10/2019,1,1,650000
5690288,25272,174239,199511,4,2170,8,7,2020,8/7/2020,1,1,300000
4983236,22000,270459,292459,4,3001,10,2,2019,10/2/2019,0,1,348000
2991569,72250,137024,209274,3,1368,10,11,2018,10/11/2018,0,1,240000
5801799,102848,117703,220551,2,1720,1,25,2018,1/25/2018,1,1,245000
5976670,74500,0,74500,,,2,1,2019,2/1/2019,1,1,90500
5990095,135517,416016,551533,4,2128,10,19,2017,10/19/2017,1,1,457500
